pid,group,name,slice,otsu_foreground,huang_foreground,otsu_foreground_ratio,huang_foreground_ratio,otsu_foreground_normalized,huang_foreground_normalized
10,8,7,19,10308,18313,0.15728759765625,0.2794342041015625,0.7265294615167748,0.8787006381651552
10,8,7,20,8420,16268,0.12847900390625,0.24822998046875,0.5934592613476177,0.7805767477568255
10,8,7,21,8178,14678,0.124786376953125,0.223968505859375,0.5764025937411897,0.7042848231850679
10,8,7,22,6659,12880,0.1016082763671875,0.196533203125,0.469340287566958,0.6180125713737344
10,8,7,23,5596,10765,0.08538818359375,0.1642608642578125,0.39441781787425995,0.5165299169905475
10,8,7,24,5096,8683,0.0777587890625,0.1324920654296875,0.35917676910064844,0.4166306799097932
10,8,7,25,4225,6470,0.0644683837890625,0.098724365234375,0.2977868621370172,0.31044575596180607
10,8,7,26,3443,5259,0.0525360107421875,0.0802459716796875,0.24266986185508882,0.2523391391967756
10,8,7,27,3829,4983,0.0584259033203125,0.0760345458984375,0.2698759515083169,0.23909601266733843
10,8,7,28,4125,4950,0.0629425048828125,0.075531005859375,0.2907386523822949,0.2375125953649057
10,8,7,29,3792,4368,0.057861328125,0.066650390625,0.2672681138990696,0.20958687203109255
10,8,7,30,2432,2982,0.037109375,0.045501708984375,0.17141246123484635,0.14308334532891895
11,13,6,1,2773,3182,0.0423126220703125,0.048553466796875,0.20762204252770292,0.14260105763197992
11,13,6,2,3608,4138,0.0550537109375,0.063140869140625,0.27014076070679843,0.1854441158017388
11,13,6,3,4319,5590,0.0659027099609375,0.085296630859375,0.32337526205450734,0.2505153715156404
11,13,6,4,5219,7193,0.0796356201171875,0.1097564697265625,0.39076070679844266,0.3223536793044725
11,13,6,5,6147,9197,0.0937957763671875,0.1403350830078125,0.46024258760107817,0.41216276776911354
11,13,6,6,6795,11126,0.1036834716796875,0.169769287109375,0.5087601078167115,0.49861073765349107
11,13,6,7,6794,12954,0.103668212890625,0.197662353515625,0.5086852351003295,0.5805324011831138
11,13,6,8,7211,14798,0.1100311279296875,0.225799560546875,0.5399071578316861,0.6631711033431926
11,13,6,9,7850,15897,0.119781494140625,0.2425689697265625,0.5877508235998802,0.7124226942726539
11,13,6,10,7700,16550,0.11749267578125,0.252532958984375,0.5765199161425576,0.7416868333781482
11,13,6,11,8942,18840,0.136444091796875,0.2874755859375,0.6695118298891883,0.8443129873621942
11,13,6,12,9605,20511,0.1465606689453125,0.3129730224609375,0.7191524408505541,0.9191987093304652
11,13,6,13,11592,21302,0.1768798828125,0.325042724609375,0.8679245283018868,0.9546473066236444
11,13,6,14,12901,22015,0.1968536376953125,0.3359222412109375,0.9659329140461216,0.9866003405933494
11,13,6,15,13356,21425,0.20379638671875,0.3269195556640625,1.0,0.9601595410952765
11,13,6,16,13069,21845,0.1994171142578125,0.3333282470703125,0.9785115303983228,0.9789818051447522
11,13,6,17,12406,22314,0.189300537109375,0.340484619140625,0.9288709194369572,1.0
11,13,6,18,10460,20576,0.15960693359375,0.31396484375,0.7831686133572926,0.9221116787666935
11,13,6,19,9907,20102,0.1511688232421875,0.306732177734375,0.7417640011979635,0.9008694093394282
11,13,6,20,9000,18906,0.1373291015625,0.288482666015625,0.6738544474393531,0.847270771712826
11,13,6,21,8295,17009,0.1265716552734375,0.2595367431640625,0.6210691823899371,0.7622568790893609
11,13,6,22,7551,15032,0.1152191162109375,0.2293701171875,0.5653638814016172,0.6736577933136148
11,13,6,23,7057,13743,0.1076812744140625,0.2097015380859375,0.528376759508835,0.6158913686474858
11,13,6,24,6077,10817,0.0927276611328125,0.1650543212890625,0.45500149745432766,0.48476292910280544
11,13,6,25,4921,8080,0.0750885009765625,0.123291015625,0.36844863731656186,0.362104508380389
11,13,6,26,4020,6232,0.06134033203125,0.0950927734375,0.30098831985624436,0.2792865465626961
11,13,6,27,4569,5868,0.0697174072265625,0.08953857421875,0.3420934411500449,0.26297391771981715
11,13,6,28,4755,5779,0.0725555419921875,0.0881805419921875,0.3560197663971249,0.25898539033790446
11,13,6,29,4126,4858,0.062957763671875,0.074127197265625,0.3089248277927523,0.21771085417226854
11,13,6,30,2625,3087,0.0400543212890625,0.0471038818359375,0.19654088050314467,0.13834364076364614
12,13,8,1,2716,3193,0.04144287109375,0.0487213134765625,0.1917808219178082,0.14739417439874442
12,13,8,2,3265,3827,0.0498199462890625,0.0583953857421875,0.23054653297556843,0.1766606656511102
12,13,8,3,3185,3809,0.0485992431640625,0.0581207275390625,0.22489761333145036,0.1758297558048285
12,13,8,4,3166,4198,0.048309326171875,0.064056396484375,0.22355599491597233,0.1937866408161381
12,13,8,5,3414,4808,0.052093505859375,0.0733642578125,0.24106764581273832,0.22194525227346165
12,13,8,6,5076,7516,0.07745361328125,0.11468505859375,0.35842395141929106,0.3469510224807275
12,13,8,7,6637,9873,0.1012725830078125,0.1506500244140625,0.46864849597514474,0.4557540506855006
